videoid,contentUrl,page_dir,name,duration_seconds
1066698565,https://ak.picdn.net/shutterstock/videos/1066698565/preview/stock-footage-road-in-the-forest-winter-beautiful-nature.mp4,000001_000050,"Road in the forest, winter beautiful nature",7.0
1066695709,https://ak.picdn.net/shutterstock/videos/1066695709/preview/stock-footage-side-view-asian-women-fat-shape-barefoot-in-exercise-clothes-are-running-in-the-beach-time-evening.mp4,000001_000050,Side view asian women fat shape barefoot in exercise clothes are running in the beach time evening sunset. health exercise slow motion,16.0
1066686421,https://ak.picdn.net/shutterstock/videos/1066686421/preview/stock-footage-castle-of-lloret-de-mar-spain-castell-d-en-plaja-from-above.mp4,000001_000050,"Castle of lloret de mar, spain, castell d'en plaja from above",11.0
1066701139,https://ak.picdn.net/shutterstock/videos/1066701139/preview/stock-footage-haut-mbomou-prefecture-map-outline-animation.mp4,000001_000050,Haut-mbomou prefecture map outline animation,7.0
1066681600,https://ak.picdn.net/shutterstock/videos/1066681600/preview/stock-footage-asian-senior-woman-and-niece-decorate-house-for-chinese-new-year-celebrations-text-on-the-wall.mp4,000001_000050,Asian senior woman and niece decorate house for chinese new year celebrations. text on the wall means lucky and healthy.,9.0
1066692955,https://ak.picdn.net/shutterstock/videos/1066692955/preview/stock-footage-online-chess-courses-for-adults-young-handsome-man-moves-pawns-on-the-board-while-making-a-move-in.mp4,000001_000050,Online chess courses for adults. young handsome man moves pawns on the board while making a move in a chess game. a man plays chess on the internet at home. leisure during quarantine.,10.0
1066678819,https://ak.picdn.net/shutterstock/videos/1066678819/preview/stock-footage-a-young-man-with-glasses-a-black-hat-and-bare-feet-plays-a-saxophone-near-a-forest-lake-the.mp4,000001_000050,"A young man with glasses, a black hat and bare feet plays a saxophone near a forest lake. the camera is moving",30.0
1066708024,https://ak.picdn.net/shutterstock/videos/1066708024/preview/stock-footage-a-macro-shot-traveling-over-the-circuit-board-of-a-vintage-ghettoblaster-hifi.mp4,000001_000050,A macro shot traveling over the circuit board of a vintage ghettoblaster hifi ,10.0
1066705060,https://ak.picdn.net/shutterstock/videos/1066705060/preview/stock-footage-a-man-camping-at-night-in-the-snow-with-headtorch-and-tent.mp4,000001_000050,A man camping at night in the snow with headtorch and tent,25.0
1066663213,https://ak.picdn.net/shutterstock/videos/1066663213/preview/stock-footage-animation-of-a-tennis-ball-bouncing-on-the-orange-court-slow-motion-of-a-spotlighted-ball-hitting.mp4,000051_000100,Animation of a tennis ball bouncing on the orange court. slow-motion of a spotlighted ball hitting the ground next to the sideline. aerial view on the bumping ball. a defining moment of the match.,13.0
1066653109,https://ak.picdn.net/shutterstock/videos/1066653109/preview/stock-footage-frustrated-couple-looking-boring-movie-in-dark-hall-annoyed-people-eating-popcorn-from-boxes-in.mp4,000051_000100,Frustrated couple looking boring movie in dark hall. annoyed people eating popcorn from boxes in cinema. upset woman and tired man sitting in movie theater.,20.0
1066672759,https://ak.picdn.net/shutterstock/videos/1066672759/preview/stock-footage-wine-pouring-from-bottle-into-glass.mp4,000051_000100,Wine pouring from bottle into glass,11.0
1066656181,https://ak.picdn.net/shutterstock/videos/1066656181/preview/stock-footage-wedding-bouquet-of-white-roses-wedding-rings-and-white-shoes-of-the-bride.mp4,000051_000100,"Wedding bouquet of white roses, wedding rings and white shoes of the bride",5.0
1066673056,https://ak.picdn.net/shutterstock/videos/1066673056/preview/stock-footage-pouring-fresh-honey-on-traditional-tatar-sweets-chack-chack-from-glass-jug-on-pink-background.mp4,000051_000100,Pouring fresh honey on traditional tatar sweets chack-chack from glass jug on pink background extreme close view,13.0
1066659094,https://ak.picdn.net/shutterstock/videos/1066659094/preview/stock-footage-mollis-switzerland-aug-pilatus-pc-turboprop-military-training-aircraft-rolls-up.mp4,000051_000100,"Mollis switzerland 16 aug. 2019: pilatus pc-9 turboprop military training aircraft rolls up vertically. krila oluje, wings of storm, the croatian air force aerobatic team",30.0
1066667017,https://ak.picdn.net/shutterstock/videos/1066667017/preview/stock-footage-happy-young-couple-in-love-hugging-laughing-drinking-wine-enjoying-talking-having-fun-together.mp4,000051_000100,"Happy young couple in love hugging, laughing, drinking wine, enjoying talking, having fun together celebrating valentines day dining at home, having romantic dinner date with candles sitting at table.",21.0
1066662949,https://ak.picdn.net/shutterstock/videos/1066662949/preview/stock-footage-a-gun-in-the-blood-pool-on-a-floor-abounded-weapon-the-crime-scene-in-school-protected-by-yellow.mp4,000051_000100,A gun in the blood pool on a floor. abounded weapon. the crime scene in school protected by yellow tape. evidence on the place of crime. concept of the police investigation. the case for a detective,13.0
1018584379,https://ak.picdn.net/shutterstock/videos/1018584379/preview/stock-footage-water-flowing-through-rocks-in-a-river.mp4,000101_000150,Water flowing through rocks in a river.,13.0
1034023745,https://ak.picdn.net/shutterstock/videos/1034023745/preview/stock-footage-summer-landscape-shooting-in-the-movement-out-of-focus.mp4,000101_000150,Summer landscape. shooting in the movement. out of focus.,11.0
4204663,https://ak.picdn.net/shutterstock/videos/4204663/preview/stock-footage-java-circa-april-timelapse-at-venue-art-performance-ngasem-market-yogyakarta-art-festival.mp4,000101_000150,Java - circa april 2013: timelapse at venue art performance (ngasem market) yogyakarta art festival circa june 2013,10.0
13619543,https://ak.picdn.net/shutterstock/videos/13619543/preview/stock-footage-campfire-embers-burning.mp4,000101_000150,Campfire embers burning.,16.0
29891542,https://ak.picdn.net/shutterstock/videos/29891542/preview/stock-footage-cosmetic-treatment-in-a-clinic-woman-getting-a-injection-to-the-face-woman-under-facial-spa.mp4,000101_000150,Cosmetic treatment in a clinic woman getting a injection to the face. woman under facial spa massage anti aging procedure.,25.0
1057108214,https://ak.picdn.net/shutterstock/videos/1057108214/preview/stock-footage-hand-architect-or-engineer-using-smartphone-transparent-hologram-digital-display-on-the-background.mp4,000101_000150,"Hand architect or engineer using smartphone transparent hologram digital display on the background of a wind turbine technology, people.",12.0
1060176980,https://ak.picdn.net/shutterstock/videos/1060176980/preview/stock-footage-woman-applying-moisturizing-cream-on-her-feet.mp4,000101_000150,Woman applying moisturizing cream on her feet,10.0
1019809684,https://ak.picdn.net/shutterstock/videos/1019809684/preview/stock-footage-guy-talking-in-a-beach-bar.mp4,000101_000150,Guy talking in a beach bar,18.0
1010996552,https://ak.picdn.net/shutterstock/videos/1010996552/preview/stock-footage-prince-edward-island-red-rock-thunder-cove.mp4,000151_000200,Prince edward island red rock thunder cove,5.0
4605416,https://ak.picdn.net/shutterstock/videos/4605416/preview/stock-footage-four-aces-combination-in-slot-machine-with-final-white-transition.mp4,000151_000200,"Four aces combination in slot machine, with final white transition",28.0
1023950213,https://ak.picdn.net/shutterstock/videos/1023950213/preview/stock-footage-aerial-view-of-slovakian-village-in-tatras-mountains-path-from-poland-to-slovakia.mp4,000151_000200,Aerial view of slovakian village in tatras mountains. path from poland to slovakia	,24.0
1060406581,https://ak.picdn.net/shutterstock/videos/1060406581/preview/stock-footage--k-timelapse-sequence-of-toronto-canada-downtown-midtown-toronto-at-sunset.mp4,000151_000200,"4k timelapse sequence of toronto, canada - downtown midtown toronto at sunset",17.0
8744368,https://ak.picdn.net/shutterstock/videos/8744368/preview/stock-footage-welder-welds-structural-beams-welding-at-night.mp4,000151_000200,Welder welds structural beams. welding at night,26.0
1064291533,https://ak.picdn.net/shutterstock/videos/1064291533/preview/stock-footage-close-up-of-white-chocolate-chips-or-granules-background-confectionery-white-chocolate-slider.mp4,000201_000250,"Close-up of white chocolate chips or granules background. confectionery white chocolate, slider shot.",24.0
1018980814,https://ak.picdn.net/shutterstock/videos/1018980814/preview/stock-footage-mountain-waterfall-in-bavaria.mp4,000201_000250,Mountain waterfall in bavaria,21.0
1212757,https://ak.picdn.net/shutterstock/videos/1212757/preview/stock-footage-young-handsome-man-sitting-near-the-fountain-and-speaking-on-the-phone-slow-motion.mp4,000201_000250,"Young handsome man sitting near the fountain and speaking on the phone, slow motion",22.0
16546381,https://ak.picdn.net/shutterstock/videos/16546381/preview/stock-footage-group-of-multiethnic-students-using-laptop-in-laboratory-of-chemistry-classroom-shot-on-red-cinema.mp4,000201_000250,Group of multiethnic students using laptop in laboratory of chemistry classroom. shot on red cinema camera in 4k (uhd).,10.0
2759417,https://ak.picdn.net/shutterstock/videos/2759417/preview/stock-footage-time-lapse-cloud.mp4,000201_000250,Time lapse cloud2,21.0
1014236093,https://ak.picdn.net/shutterstock/videos/1014236093/preview/stock-footage-sweet-apricot-seeds-on-the-rotating-stand.mp4,000251_000300,Sweet apricot seeds on the rotating stand,13.0
1007298325,https://ak.picdn.net/shutterstock/videos/1007298325/preview/stock-footage-fried-potatoes-are-poured-onto-a-tray.mp4,000251_000300,Fried potatoes are poured onto a tray,9.0
13043786,https://ak.picdn.net/shutterstock/videos/13043786/preview/stock-footage-stockholm-sweden-april-steadicam-shot-of-two-tourists-choosing-souvenirs-in-shop.mp4,000251_000300,"Stockholm, sweden - april 26, 2015: steadicam shot of two tourists choosing souvenirs in shop.",20.0
21456007,https://ak.picdn.net/shutterstock/videos/21456007/preview/stock-footage-capturing-fireshow-video-on-mobile.mp4,000251_000300,Capturing fireshow video on mobile,18.0
1042211542,https://ak.picdn.net/shutterstock/videos/1042211542/preview/stock-footage-aerial-view-of-mt-fuji-and-lake-kawaguchiko-at-morning.mp4,000251_000300,Aerial view of mt. fuji and  lake kawaguchiko at morning,43.0
1058259322,https://ak.picdn.net/shutterstock/videos/1058259322/preview/stock-footage-hourglass-black-sand-in-a-transparent-flask-is-poured-silhouette-of-a-girl-reading-a-book.mp4,000251_000300,"Hourglass black sand in a transparent flask is poured silhouette of a girl reading a book background, punctuating the transience of time 4k",13.0
1016825278,https://ak.picdn.net/shutterstock/videos/1016825278/preview/stock-footage-huntington-beach-pier-and-main-street-shopping-reveal-drone-aerial-of-huntington-beaches-looking.mp4,000301_000350,"Huntington beach pier and main street shopping reveal

drone aerial of huntington beaches looking down hotel row on main street
aerial flyover and looking down on the beaches and ocean ",32.0
10992257,https://ak.picdn.net/shutterstock/videos/10992257/preview/stock-footage-full-moon-transit-through-a-schmidt-cassegrain-telescope.mp4,000301_000350,Full moon transit through a schmidt cassegrain telescope,20.0
1048628584,https://ak.picdn.net/shutterstock/videos/1048628584/preview/stock-footage-system-logistics-connection-process-line-art-doodle-draw-process-whiteboard-symbol-sign-concept-set.mp4,000301_000350,System logistics connection process line art doodle draw process whiteboard symbol sign concept  set,12.0
17274880,https://ak.picdn.net/shutterstock/videos/17274880/preview/stock-footage-carvings-above-main-entrance-to-the-basilica-of-notre-dame-de-fourviere-in-lyon-city-france-ultra.mp4,000301_000350,"Carvings above main entrance to the basilica of notre dame de fourviere in lyon city, france,ultra hd 4k,real time",21.0
1054701554,https://ak.picdn.net/shutterstock/videos/1054701554/preview/stock-footage-beautiful-view-vertically-down-from-a-great-height-on-a-beautiful-valley-with-forest-and-rocks-the.mp4,000301_000350,"Beautiful view vertically down from a great height on a beautiful valley with forest and rocks, the mountain river is divided into several streams and islands. ural, the threshold revun.",27.0
1022010727,https://ak.picdn.net/shutterstock/videos/1022010727/preview/stock-footage-timelapse-hawaii-sunrise-famous-haiku-stairs-stairs-to-heaven-mountain-summit-by-ocean-side-oahu.mp4,000301_000350,"Timelapse. hawaii sunrise. famous haiku stairs(stairs to heaven) mountain summit by ocean side,oahu,united states",16.0
